Date,Open,High,Low,Close,Volume,RSI,Signal,Equity
2023-04-25,8.449999809265137,8.75,8.199999809265137,8.5,1367180,47.222223693942475,0,3078.201745718377
2023-04-26,9.25,9.449999809265137,8.649999618530273,8.699999809265137,2411400,52.55474127363321,0,3150.629953015234
2023-04-27,8.800000190734863,9.149999618530272,8.600000381469727,9.100000381469728,1616580,54.861117181955535,0,3295.486712973884
2023-04-28,8.899999618530273,9.050000190734863,8.75,8.949999809265137,1012880,48.09160283114633,0,3241.165298477539
2023-05-01,8.699999809265137,8.800000190734863,8.199999809265137,8.300000190734863,1371220,37.692310288108,0,3005.77353842152
2023-05-02,8.199999809265137,8.800000190734863,8.100000381469727,8.699999809265137,1586680,43.18181325581404,0,3150.629953015234
2023-05-03,8.5,9.149999618530272,8.449999809265137,8.75,1451720,29.245285565168103,1,3168.737091180682
2023-05-04,8.800000190734863,8.949999809265137,8.649999618530273,8.75,1502920,31.00000381469731,0,3168.737091180682
2023-05-05,8.850000381469727,9.399999618530272,8.800000190734863,9.399999618530272,1938700,44.89795878647464,0,3404.128851236701
2023-05-08,9.0,9.149999618530272,8.649999618530273,8.949999809265137,1363180,36.999995613097305,0,3241.165298477539
2023-05-09,9.050000190734863,9.050000190734863,8.649999618530273,8.899999618530273,2078940,43.52940806880459,0,3223.0581603120913
2023-05-10,9.100000381469728,9.5,8.949999809265137,9.149999618530272,1846720,57.534236911537135,0,3313.593505774396
2023-05-11,8.850000381469727,8.850000381469727,8.199999809265137,8.399999618530273,1689300,49.41176232994581,0,3041.987469387481
2023-05-12,8.199999809265137,8.699999809265137,8.199999809265137,8.699999809265137,875260,53.93257800895511,0,3150.629953015234
2023-05-15,8.850000381469727,9.449999809265137,8.75,9.350000381469728,1239120,58.585861115756416,0,3386.022058436189
2023-05-16,9.199999809265137,9.399999618530272,9.050000190734863,9.25,847380,55.670103498214075,0,3349.8077821052925
2023-05-17,9.149999618530272,10.350000381469728,9.149999618530272,10.149999618530272,2865340,59.8130762821749,0,3675.7348876236165
2023-05-18,10.0,10.300000190734863,9.399999618530272,9.75,1755860,57.142859575700044,0,3530.878473029903
2023-05-19,9.850000381469728,9.994999885559082,9.5,9.550000190734863,841080,62.13592322902669,0,3458.450265733046
